,text,label
0,sık burun kanaması.,Scientific
1,"vertigo atakları esnasında başınıza ağrı da giriyorsa, manevralar işe yaramıyorsa ve neden benim başım sürekli dönüyor öff diye illet etmiş durumdaysanız migrenin aşağıdaki gibi zor tanılı bir çeşidi varmış efenim.şimdi zavallı kristallerimize küfretmeyi keserek migrene küfretmeye başlayabiliriz.(bkz:vestibüler migren)",Mixed
2,aspirin içince geçen durum,Scientific
3,"gerçekten evrendeki her şeye küfretme sebebi lanet bir hastalık bu.en son kasım ayında kapımı çalmıştı ve manevrayla kristallerim yerine oturmuştu. anında geçince öyle rahatladım ki bir daha olmayacak diye kafamda belledim.stres yüzünden başına gelmeyen kalmayan bir insan evladı olarak az önce yine yer, ayağımdan kaydı. geçen hafta kulağım inanılmaz şiddetli çınlamış ve bir şey olmamıştı. bir hafta mı bekledin allahsız diye söyleniyorum evde nine gibi. yalnız başıma yürümeye çalışırken “acaba düşüp bir yerimi kırsam beni gelip kim bulur” diye düşünüyorum.betaserciçtim. şiddetli bir baş ağrım var. koltukta uzanmış geçsin diye bekliyorum.birine beddua mı etmek istiyorsunuz? vertigo’dan muzdarip ol diyin. tek seferde içinizin yağlarını eritecek kadar etkili bir yöntem.",Mixed
4,"benim deneyimlerim sonucunda edindiğim tecrübeye dayanarak bu aftı ilk çıktığı zamanlarda iğne ucu kadarken siklemez kendi haline bırakırsan kendi kendine kaybolup gidiyor ama nezaman kafaya taksan, oynasan, ilaç falan sürsen iyileşmek yerine daha da beter olup kocaman nohut kadar oluyor sonra hayatı işkenceye dönüştürüyor. tabi bazen siklemesende işe yaramıyor istisnalar kaideyi bozmaz.",Non-scientific
5,"annemin müzdarip olduğu rahatsızlık, 2 ayda 1 atak geçiriyor neredeyse. bu konuda tecrübeli yazar arkadaşları dinlemeyi çok isterim açıkçası.",Scientific
6,"hem kendisini hem de bundan muzdarip insanları daha yakından tanımak ve anlamak için yakın arkadaşımın, üzerinde insan üstü bir emekle çalışma yürüttüğü hastalık.bu emeklerin meyvesi olan kitabı ""tıbbi sosyal hizmet perspektifinden behçet hastalarının sesi"" de yakın zamanda çıkmış bulunmaktadır. ayrıca bu işin mutfağında, bu zamana kadar tek bir kitabı hakkını vererek tamamlamak için bu kadar emek harcanması gerektiğini bilmeyen beni de inanılmaz şaşırtan gerçek bir bilim insanı bulunmakta.(bkz:merve deniz pak)rez alın, geleceğinçiğdem kağıtçıbaşıayarında bir hocası yetişiyor.kitap tüm önde gelen yayınevlerinde bulunabilir fakat üşengeçler içinlinkbu da tanıtım yazısı:tıp dünyasında “behçet hastalığı” ismiyle bilinen hastalık, türk doktorhulusi behçet’in soyadından gelmektedir. ilk kez 1937 yılında hipopiyonlu iridosiklit (göz içi iltihabı), ağızda aftöz lezyonlar ve genital ülserlerin majör semptomlar olarak değerlendirildiği bir hastalık olarak ortaya konulmuştur. dünya çapında bu klinik tablo, öncelikle “behçet’in üçlü semptom kompleksi” olarak, sonrasında ise behçet hastalığı (behcet disease) veya behçet sendromu (behcet syndrome) olarak isimlendirilmiştir. behçet hastalığı tıbbi tanımı ile tekrarlayan ağız yaraları ve genital ülserler ile göz bulgularının yanı sıra kas-iskelet, nörolojik, solunum ve sindirim sistemi tutulumları gösteren, geniş dağılımlı bir vaskülittir. behçet hastaları; hastalığın kronik özelliği, teşhisinin zorluğu, kesin ve kalıcı tedavisinin olmaması, tüm organları etkileme potansiyeli ve atakların öngörülemezliği açısından fiziksel, psikososyal ve ekonomik yönlerden sorunlar yaşamaktadır. tıbbi sosyal hizmet perspektifinden “behçet hastalarının sesi” isimli kitap tam da bu noktada hem tıbbi hem de psikososyal ve ekonomik alanlarda hastaların yaşadığı sorunları ele almaktadır. kitabın yazarımerve deniz pak, yaptığı araştırmada 64 behçet hastası ile çalışmıştır. hem nicel hem de nitel araştırma bulgularının yer aldığı eserde “çevresi içinde birey” yaklaşımından hareket edilmiş; sağlık bakımına uyum, psikolojik baskı, aile ve sosyal çevre ile ilişkiler, cinsel yaşam, mesleki yaşam ve ekonomik durum etraflıca ele alınmıştır. bunun sonucunda behçet hastalarının fiziksel, psikolojik, sosyal ve ekonomik ve tıbbi süreçlerde pek çok güçlük yaşadıkları ortaya konulmuştur. behçet hastalarının marjinalize olmuş bir grup olarak dezavantajlı durumda bulunduğu, hastalığın kronik, tedavi edilemez ve tekrarlayıcı özelliği nedeniyle birey ve ailede ciddi psikososyal yıkımlara neden olduğu ve nihai olarak bireylerin hem sağlık politikalarına hem de sosyal hizmetlere erişime ciddi gereksinimlerinin bulunduğu sonucuna ulaşılmıştır. ihtiyaçların giderilmesi ve iyilik hâlinin sağlanması amacı ile güçlüklerle baş etme kapasitesinin geliştirilmesinde, yaşam kalitesinin yükseltilmesinde, etkili tıbbi bakım ve tedavi hizmetlerinin sunumunda, bütüncül politikaların oluşturulmasında, aile ve sosyal çevre ile olan ilişkilerin yeniden düzenlenmesinde ve sağlık hizmetine ulaşma hakkının kullanılmasında multidisipliner çalışmalara ihtiyaç bulunduğu açıktır. bu bağlamda eser, tıbbi sosyal hizmet bakış açısıyla behçet hastalarının sesini duyurmaya odaklanmaktadır.kitabın yazarımerve deniz pak, 2015 yılında başkent üniversitesi sağlık kurumları işletmeciliği ve sosyal hizmet bölümlerinde çift anadal lisans programlarını tamamlayarak birincilikle mezun olmuştur. eğitimi sırasında gata ve ankara üniversitesi tıp fakültesi hastanelerinde tıbbi/psikiyatrik sosyal hizmet alanlarında çalışmalar yapmıştır. gazi üniversitesi tıp fakültesi tarafından düzenlenen ""organ nakli ve etik"" ve ""genetik ve etik"" konulu ulusal tıbbi etik proje yarışmalarında ödüller almıştır. yüksek lisansını başkent üniversitesi’nde klinik odaklı sosyal hizmet ve ankara üniversitesi’nde aile danışmanlığı bölümlerinde tamamlamıştır. hacettepe üniversitesi’nde doktora eğitimine devam etmekte ve başkent üniversitesi, sosyal hizmet bölümü’nde araştırma görevlisi olarak çalışmaktadır.",Unrelated
7,vakaların büyük bölümünde çene ve boyunla ilgili problemler görülmüş ancak maalesef hekimlerin bundan haberi yok.doktorunuzdan ısrarla isteyiniz:https://www.ncbi.nlm.nih.gov/…/articles/pmc3129953/zaten tinnitüs madurlarının ilk şok olduğu şey hekimlerin bu konudaki ilgisizliği ve bilgisizliği.kulak çınlamanız varsa bir de dişçiye ve fizyoterapiste görünün.,Mixed
8,"sarki guzel ancak ben edis olsam bitmis klip onume geldiginde bu ne aq der yayinlatmazdim.1- edis dansedebiliyor, bunu biliyoruz ancak klipteki dans figurleri cocuk isi olmus.2- kostumden dolayi ince uzun ancak gobekli bir abi gibi gorunuyor edis.3- saclarindan adeta yag damliyor gibi bir goruntu var, mide kaldiriyor.oldukca basarisiz bir klibe sahip basarili edis sarkisi.",Unrelated
9,bademcigimin üzeri bembeyaz kaplı nefes almakta bile zorlaniyorum. acildeki doktor bunun için mi geldin dercesine bi antibiyotik yazıp yolladı. 3 gündür boğazımdan ilaç dışında birşey geçmedi. yutkunacagim diye ödüm kopuyor. ada çayı sprey ıhlamur bal... denemediğim bisey kalmadi resmen depresyona girdim acıdan.otobüste kusan çocuğun poşetini gelip yanima atti kadın. muhtemelen ordan bulaştı.. elimi sokup bademciklerimi sıksam içindeki iltihap çıkar mi acaba?,Scientific
